ProductType,ModelName,ModelFeatures,Price
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V0,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Oyun Konsolu,Microsoft Xbox Series X V56,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Microsoft Xbox Series X V57,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Fotoğraf Makinesi,Sony Alpha a7 III V58,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Canon EOS R5 V59,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Nintendo Switch OLED V60,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Microsoft Xbox Series X V61,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V62,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Oyun Konsolu,Microsoft Xbox Series X V63,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V64,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V65,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V66,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Oyun Konsolu,Nintendo Switch OLED V67,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Nintendo Switch OLED V68,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V69,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V70,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V71,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Canon EOS R5 V72,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Canon EOS R5 V73,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Nikon Z6 II V74,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Nintendo Switch OLED V75,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Microsoft Xbox Series X V76,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V77,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Nikon Z6 II V78,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V79,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V80,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V81,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Oyun Konsolu,Microsoft Xbox Series X V82,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V83,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V84,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V85,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V86,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Nikon Z6 II V87,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V88,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Oyun Konsolu,Microsoft Xbox Series X V89,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V90,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V91,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Fotoğraf Makinesi,Canon EOS R5 V92,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V93,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Oyun Konsolu,Microsoft Xbox Series X V94,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Nintendo Switch OLED V95,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Nikon Z6 II V96,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Fotoğraf Makinesi,Canon EOS R5 V97,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Nintendo Switch OLED V98,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V99,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Canon EOS R5 V0,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Canon EOS R5 V1,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Nintendo Switch OLED V2,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V3,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V4,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V5,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Oyun Konsolu,Nintendo Switch OLED V6,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Sony Alpha a7 III V7,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Nikon Z6 II V8,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Microsoft Xbox Series X V9,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V10,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Nikon Z6 II V11,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V12,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Canon EOS R5 V13,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Nintendo Switch OLED V14,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Microsoft Xbox Series X V15,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V16,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V17,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V18,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Oyun Konsolu,Nintendo Switch OLED V19,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Canon EOS R5 V20,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Microsoft Xbox Series X V21,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Nintendo Switch OLED V22,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Nintendo Switch OLED V23,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V24,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Fotoğraf Makinesi,Nikon Z6 II V25,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Fotoğraf Makinesi,Sony Alpha a7 III V26,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V27,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V28,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V29,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V30,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V31,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Sony Alpha a7 III V32,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V33,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V34,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V35,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Canon EOS R5 V36,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V37,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Sony Alpha a7 III V38,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Canon EOS R5 V39,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Canon EOS R5 V40,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Canon EOS R5 V41,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V42,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Sony Alpha a7 III V43,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Canon EOS R5 V44,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Nintendo Switch OLED V45,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V46,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V47,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Nikon Z6 II V48,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Fotoğraf Makinesi,Sony Alpha a7 III V49,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Canon EOS R5 V50,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Nintendo Switch OLED V51,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Microsoft Xbox Series X V52,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Fotoğraf Makinesi,Nikon Z6 II V53,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Fotoğraf Makinesi,Sony Alpha a7 III V54,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Sony Alpha a7 III V55,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V56,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V57,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V58,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Canon EOS R5 V59,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Nikon Z6 II V60,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V61,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Nikon Z6 II V62,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Nintendo Switch OLED V63,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Canon EOS R5 V64,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Nikon Z6 II V65,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Fotoğraf Makinesi,Nikon Z6 II V66,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V67,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Oyun Konsolu,Nintendo Switch OLED V68,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Fotoğraf Makinesi,Nikon Z6 II V69,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Microsoft Xbox Series X V70,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Oyun Konsolu,Microsoft Xbox Series X V71,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Fotoğraf Makinesi,Nikon Z6 II V72,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V73,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V74,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V75,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V76,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Sony Alpha a7 III V77,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V78,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V79,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V80,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V81,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V82,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V83,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V84,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Fotoğraf Makinesi,Nikon Z6 II V85,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Fotoğraf Makinesi,Canon EOS R5 V86,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Sony Alpha a7 III V87,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Sony Alpha a7 III V88,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Nikon Z6 II V89,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V90,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V91,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V92,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V93,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Oyun Konsolu,Nintendo Switch OLED V94,""7 inç OLED ekran, 64GB depolama, taşınabilir ve TV bağlantılı kullanım"",400"
"Oyun Konsolu,Microsoft Xbox Series X V95,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Fotoğraf Makinesi,Nikon Z6 II V96,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V97,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Nikon Z6 II V98,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Fotoğraf Makinesi,Sony Alpha a7 III V99,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Sony Alpha a7 III V0,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V1,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Fotoğraf Makinesi,Canon EOS R5 V2,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Sony Alpha a7 III V3,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V4,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V5,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Nikon Z6 II V6,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V7,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Nikon Z6 II V8,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V9,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V10,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Fotoğraf Makinesi,Canon EOS R5 V11,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V12,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V13,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V14,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Oyun Konsolu,Microsoft Xbox Series X V15,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V16,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V17,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V18,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V19,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V20,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V21,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V22,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V23,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Ev Eşyası,Dyson V15 Detect Kablosuz Süpürge V24,""Lazer toz algılama, yüksek emiş gücü, LCD ekranlı akıllı raporlama"",700"
"Fotoğraf Makinesi,Canon EOS R5 V25,""45 MP full-frame sensör, 8K video çekimi, gelişmiş otomatik odaklama sistemi"",3900"
"Fotoğraf Makinesi,Sony Alpha a7 III V26,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V27,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Oyun Konsolu,Microsoft Xbox Series X V28,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
"Ev Eşyası,Philips Hue Akıllı Ampul Seti V29,""Renkli ve ayarlanabilir beyaz ışık, akıllı telefon kontrolü, sesli asistan uyumluluğu"",200"
"Bilgisayar Parçası,NVIDIA GeForce RTX 3080 V30,""10GB GDDR6X bellek, ray tracing desteği, yüksek performanslı oyun deneyimi"",500"
"Bilgisayar Parçası,AMD Ryzen 7 5800X V31,""8 çekirdek, 16 iş parçacığı, 3.8 GHz temel saat hızı, yüksek performanslı işlemci"",350"
"Fotoğraf Makinesi,Sony Alpha a7 III V32,""24.2 MP full-frame sensör, 4K video çekimi, 5 eksenli görüntü sabitleme"",2000"
"Fotoğraf Makinesi,Nikon Z6 II V33,""24.5 MP sensör, 4K UHD video, çift EXPEED 6 işlemci, çift hafıza kartı yuvası"",2400"
"Oyun Konsolu,Sony PlayStation 5 Slim Digital Edition V34,""8K çözünürlük desteği, AMD Zen 2 işlemci, 3D ses desteği"",650"
"Oyun Konsolu,Microsoft Xbox Series X V35,""12 Teraflop GPU, 1TB SSD, 4K 120FPS performans, Xbox Game Pass uyumluluğu"",750"
